ms,rpm
0,0
40,31
80,229
120,375
160,541
200,697
240,875
280,1000
320,1166
360,1322
400,1510
440,1635
480,1791
520,1927
560,1864
600,1927
640,1906
680,1916
720,1895
760,1968
800,1937
840,1947
880,1916
920,1989
960,1979
1000,1979
1040,2000
1080,2000
1120,1989
1160,1989
1200,1989
1240,2000
1280,2010
1320,2000
1360,2062
1400,1989
1440,2010
1480,2000
1520,2041
1560,1968
1600,2000
1640,1989
1680,2031
1720,1968
1760,1989
1800,1989
1840,1979
1880,1989
1920,1989
1960,1989
2000,2000
2040,2000
2080,2000
2120,2000
2160,2010
2200,2010
2240,2010
2280,2000
2320,2000
2360,2010
2400,2010
2440,2010
2480,2000
2520,2010
2560,2010
2600,2010
2640,2000
2680,1989
2720,1989
2760,2083
2800,2031
2840,2020
2880,2041
2920,2020
2960,1989
3000,2020
3040,1979
3080,2000
3120,1979
3160,2083
3200,2062
3240,1958
3280,2020
3320,2041
3360,1968
3400,2010
3440,1989
3480,1989
3520,2020
3560,2052
3600,2020
3640,1947
3680,1968
3720,1968
3760,1968
3800,1958
3840,2010
3880,2000
3920,2000
3960,2031
4000,2031
4040,1968
4080,2052
4120,2041
4160,2010
4200,2052
4240,1979
4280,2000
4320,1989
4360,2031
4400,2031
4440,1989
4480,1979
4520,2010
4560,1927
4600,1947
4640,1968
4680,1989
4720,2000
4760,1875
4800,1927
4840,1947
4880,2062
4920,2052
4960,2072
5000,2093
5040,2052
5080,2031
5120,2135
5160,2104
5200,2083
5240,2218
5280,2145
5320,2083
5360,1989
5400,1895
5440,1885
5480,1937
5520,2000
5560,2010
5600,2010
5640,2010
5680,2000
5720,1989
5760,2000
5800,1989
5840,2072
5880,2177
5920,2093
5960,1979
6000,1906
6040,1968
6080,1864
6120,1875
6160,2031
6200,2031
6240,2020
6280,2052
6320,1947
6360,1927
6400,2104
6440,2125
6480,2145
6520,2083
6560,2072
6600,2062
6640,1958
6680,1885
6720,1895
6760,1979
6800,2000
6840,1979
6880,1916
6920,1895
6960,1947
7000,2031
7040,2041
7080,2010
7120,2020
7160,2062
7200,2083
7240,1968
7280,2020
7320,2041
7360,2020
7400,2000
7440,1989
7480,2010
7520,2020
7560,2020
7600,2010
7640,2010
7680,2000
7720,2072
7760,1989
7800,2000
7840,1968
7880,2052
7920,2031
7960,166
8000,166
8040,291
8080,458
8120,583
8160,770
8200,916
8240,1072
8280,1281
8320,1406
8360,1562
8400,1729
8440,1687
8480,1885
8520,1906
8560,1906
8600,1947
8640,1906
8680,1979
8720,1979
8760,1927
8800,2041
8840,2020
8880,2020
8920,2052
8960,2041
9000,2020
9040,2020
9080,1968
9120,1968
9160,1916
9200,1895
9240,1958
9280,1864
9320,1895
9360,1895
9400,1916
9440,1843
9480,1906
9520,1885
9560,1947
9600,1947
9640,1989
9680,2000
9720,1947
9760,1979
9800,1927
9840,1947
9880,1281
9920,1416
9960,1479
10000,1500
10040,1583
10080,1625
10120,1697
10160,1739
10200,1833
10240,1875
10280,1937
10320,2062
10360,2083
10400,1979
10440,2020
10480,2041
10520,2010
10560,1968
10600,1979
10640,2000
10680,2010
10720,2020
10760,2010
10800,2020
10840,2041
10880,1927
10920,1864
10960,1989
11000,2010
11040,2041
11080,2041
11120,2020
11160,1979
11200,2010
11240,1947
11280,1864
11320,1979
11360,2125
11400,2104
11440,2010
11480,1343
11520,1333
11560,1479
11600,1531
11640,1583
11680,1750
11720,1791
11760,1802
11800,1864
11840,1895
11880,1916
11920,2031
11960,2072
12000,2104
12040,2041
12080,2020
12120,2031
12160,1906
12200,1916
12240,1979
12280,1895
12320,1906
12360,2062
12400,2000
12440,1989
12480,1979
12520,1791
12560,1781
12600,1875
12640,1895
12680,1906
12720,2000
12760,2083
12800,2052
12840,1947
12880,1927
12920,1958
12960,1968
13000,2135
13040,2208
13080,2072
13120,2072
13160,2062
13200,1958
13240,1875
13280,1906
13320,2020
13360,2041
13400,2010
13440,2000
13480,2041
13520,1989
13560,2010
13600,2010
13640,1968
13680,1979
13720,2041
13760,2072
13800,1927
13840,1927
13880,2041
13920,2083
13960,1958
14000,1968
14040,1989
14080,1958
14120,2031
14160,2000
14200,2010
14240,2072
14280,2083
14320,2041
14360,1968
14400,1947
14440,2031
14480,1979
14520,1968
14560,2062
14600,2010
14640,2020
14680,2010
14720,1958
14760,1947
14800,2000
14840,1947
14880,1968
14920,2010
14960,2031
15000,2031
15040,1958
15080,2041
15120,2031
15160,2010
15200,2000
15240,2000
15280,1989
15320,2010
15360,2041
15400,1989
15440,2000
15480,2062
15520,2062
15560,1958
15600,1979
15640,1989
15680,1979
15720,1968
15760,1968
15800,2062
15840,2010
15880,2000
15920,1989
15960,2000
16000,2000
16040,2010
16080,2031
16120,2031
16160,2000
16200,2072
16240,2052
16280,1947
16320,2020
16360,2020
16400,2020
16440,1989
16480,1979
16520,1989
16560,2010
16600,2010
16640,2000
16680,2000
16720,2000
16760,2010
16800,1895
16840,1937
16880,1968
16920,1979
16960,1979
17000,2010
17040,1927
17080,1947
17120,2020
17160,1947
17200,1968
17240,1979
17280,2041
17320,2052
17360,1989
17400,1927
17440,2062
17480,2052
17520,2052
17560,2031
17600,1979
17640,2000
17680,2062
17720,2052
17760,2010
17800,2000
17840,2041
17880,2052
17920,1927
17960,1958
18000,1968
18040,2010
18080,1989
18120,2000
18160,1937
18200,1958
18240,1927
18280,1895
18320,2041
18360,2041
18400,2020
18440,2010
18480,2010
18520,1989
18560,1979
18600,1968
18640,2093
18680,2083
18720,2093
18760,2104
18800,1958
18840,1958
18880,1979
18920,1989
18960,1989
19000,2000
19040,2020
19080,2031
19120,1927
19160,1854
19200,1906
19240,2020
19280,2052
19320,2010
19360,2041
19400,1989
19440,2000
19480,2010
19520,1968
19560,1968
